"Key","zh_CN","en_US"
"腾讯云 OCR","腾讯云 OCR","Tencent Cloud OCR"
"SecretId","SecretId","SecretId"
"腾讯云访问密钥 SecretId，可在「访问管理」>「API密钥管理」中获取。","腾讯云访问密钥 SecretId，可在「访问管理」>「API密钥管理」中获取。","SecretId of Tencent Cloud, can be found in 'Access Management' > 'API Key Management'."
"SecretKey","SecretKey","SecretKey"
"腾讯云访问密钥 SecretKey，注意保密。","腾讯云访问密钥 SecretKey，注意保密。","SecretKey of Tencent Cloud, keep it confidential."
"超时时间","超时时间","Timeout"
"秒","秒","s"
"文字识别（腾讯云 OCR）","文字识别（腾讯云 OCR）","OCR (Tencent Cloud)"
"OCR 接口","OCR 接口","OCR Interface"
"通用印刷体识别","通用印刷体识别","General OCR"
"通用印刷体识别（高精度）","通用印刷体识别（高精度）","General OCR (High Accuracy)"
"通用印刷体识别（高精度含位置）","通用印刷体识别（高精度含位置）","General OCR (High Accuracy with Bounding Box)"
"手写体识别","手写体识别","Handwriting OCR"
"身份证识别","身份证识别","ID Card OCR"
"银行卡识别","银行卡识别","Bank Card OCR"
"名片识别","名片识别","Business Card OCR"
"车牌识别","车牌识别","License Plate OCR"
"增值税发票识别","增值税发票识别","VAT Invoice OCR"
"表格识别（旧版）","表格识别（旧版）","Table OCR (Legacy)"
"混贴发票识别","混贴发票识别","Mixed Invoice OCR"
"选择要调用的腾讯云 OCR 接口。","选择要调用的腾讯云 OCR 接口。","Select which Tencent Cloud OCR API to invoke."
"语言类型","语言类型","Language Type"
"自动检测","自动检测","Auto Detect"
"中文","中文","Chinese"
"英文","英文","English"
"日文","日文","Japanese"
"韩文","韩文","Korean"
"俄文","俄文","Russian"
"法文","法文","French"
"德文","德文","German"
"西班牙文","西班牙文","Spanish"
"葡萄牙文","葡萄牙文","Portuguese"
"意大利文","意大利文","Italian"
"印地文","印地文","Hindi"
"指定识别语言类型（部分接口支持）","指定识别语言类型（部分接口支持）","Specify the language type to recognize (supported by some APIs)"
"区域","区域","Region"
"广州","广州","Guangzhou"
"北京","北京","Beijing"
"上海","上海","Shanghai"
"中国香港","中国香港","Hong Kong"
"硅谷","硅谷","Silicon Valley"
"选择最近的区域以降低延迟","选择最近的区域以降低延迟","Select the nearest region to reduce latency"
"输入为PDF","输入为PDF","Input is PDF"
"如果图片源是PDF文件，请启用此选项","If the image source is a PDF file, enable this option","If the image source is a PDF file, enable this option"
"PDF页码","PDF页码","PDF Page Number"
"指定识别页码（0=全部）","指定识别页码（0=全部）","Specify page number (0 = all pages)"